,bhk,area,region,price_in_cr
38776,3,1007,Sion,2.41
38777,2,799,Sion,1.91
38778,2,711,Sion,1.7
38779,2,772,Sion,1.85
38780,2,686,Sion,1.64
38781,3,985,Sion,2.36
38784,1,374,Dahisar,0.79
38785,1,382,Dahisar,0.85
38786,1,374,Dahisar,0.81
38787,1,376,Dahisar,0.815
38788,1,379,Dahisar,0.845
38789,2,663,Sion,1.59
38809,3,1094,Deonar,3.03
38810,2,725,Deonar,1.97
38811,2,724,Deonar,1.97
38812,3,1062,Deonar,2.95
38813,2,742,Deonar,2.01
38814,3,1147,Deonar,3.17
